CRESTA,Haz,Vuln,Overall
AT_10,-6.91E-02,8.72E-05,-6.90E-02
AT_11,-0.112758232,1.38E-04,-0.112635508
AT_12,-0.095571164,1.20E-04,-9.55E-02
AT_13,-0.079764089,4.60E-04,-0.079340463
AT_20,-8.75E-02,3.59E-03,-8.43E-02
AT_21,-6.79E-02,0.002981665,-0.065077802
AT_22,-9.26E-02,1.99E-03,-9.08E-02
AT_23,-4.21E-02,5.11E-04,-4.16E-02
AT_24,-9.10E-02,8.09E-04,-9.02E-02
AT_25,-8.93E-02,5.67E-04,-8.88E-02
AT_26,-6.61E-02,-2.02E-03,-6.80E-02
AT_27,-0.070934501,1.37E-04,-7.08E-02
AT_28,-0.06969448,1.28E-03,-6.85E-02
AT_30,-0.104447928,1.27E-03,-0.103312997
AT_31,-7.28E-02,5.94E-04,-7.23E-02
AT_32,-6.06E-02,8.28E-04,-5.99E-02
AT_33,-6.64E-02,-7.07E-04,-6.71E-02
AT_34,-0.112609861,1.92E-03,-0.110910253
AT_35,-0.082201434,3.21E-03,-7.93E-02
AT_36,-6.90E-02,2.62E-03,-6.66E-02
AT_37,-9.21E-02,3.23E-03,-0.089203932
AT_38,-7.42E-02,2.97E-03,-7.14E-02
AT_39,-7.23E-02,3.02E-03,-6.95E-02
AT_40,-1.70E-02,8.40E-04,-1.62E-02
AT_41,-5.20E-02,2.14E-03,-5.00E-02
AT_42,-5.31E-02,1.98E-03,-5.12E-02
AT_43,-6.55E-02,2.95E-03,-6.27E-02
AT_44,-4.01E-02,-1.16E-03,-4.12E-02
AT_45,1.15E-04,-4.18E-03,-4.07E-03
AT_46,-0.05335622,5.45E-04,-5.28E-02
AT_47,-5.82E-02,2.24E-03,-0.056103536
AT_48,-7.78E-02,-4.74E-03,-0.08214756
AT_49,-6.41E-02,2.43E-03,-6.18E-02
AT_50,-0.093576695,-1.91E-04,-0.093749614
AT_51,-9.56E-02,1.24E-03,-9.45E-02
AT_52,-9.03E-02,1.86E-03,-8.86E-02
AT_53,-0.110611362,-1.57E-03,-0.112008177
AT_54,-0.104916989,-1.13E-02,-0.115038585
AT_55,-8.12E-02,-0.101700623,-0.174647942
AT_56,-9.67E-02,-1.95E-02,-0.114332466
AT_57,-0.114790064,-1.94E-02,-0.13193285
AT_60,-8.64E-02,-4.39E-02,-0.126557313
AT_61,-0.156168421,-6.76E-02,-0.213219458
AT_62,-0.139229453,-5.31E-02,-0.184930588
AT_63,-0.119052,-6.00E-02,-0.171906035
AT_64,-0.124683815,-0.028361476,-0.149509074
AT_65,-4.99E-02,-4.60E-02,-9.36E-02
AT_66,-0.121639989,-0.112761262,-0.220684972
AT_67,-0.114402225,-2.30E-02,-0.134804933
AT_68,-0.160899736,-2.08E-02,-0.178361261
AT_69,-0.168124069,-0.259830496,-0.384270805
AT_70,-0.090140586,2.26E-03,-8.81E-02
AT_71,-0.103391747,2.15E-03,-0.10146289
AT_72,-5.03E-02,2.11E-03,-0.048329641
AT_73,-5.66E-02,2.24E-03,-5.45E-02
AT_74,-3.41E-02,1.56E-03,-3.26E-02
AT_75,-2.49E-02,1.34E-03,-2.36E-02
AT_80,4.55E-02,8.25E-04,4.64E-02
AT_81,-4.33E-03,-8.40E-04,-5.16E-03
AT_82,-3.22E-02,2.56E-03,-2.98E-02
AT_83,-1.70E-02,2.38E-03,-1.47E-02
AT_84,-0.014232365,1.93E-03,-1.23E-02
AT_85,-0.020721972,1.91E-03,-1.89E-02
AT_86,-2.88E-02,-2.46E-02,-5.27E-02
AT_87,-3.74E-02,-2.87E-02,-6.51E-02
AT_88,-1.25E-02,-2.90E-02,-4.12E-02
AT_89,-6.80E-02,-2.96E-02,-0.09560339
AT_90,3.95E-02,5.70E-04,4.01E-02
AT_91,-7.87E-03,1.60E-03,-6.28E-03
AT_92,8.71E-03,5.18E-04,9.24E-03
AT_93,1.26E-02,-2.98E-03,9.58E-03
AT_94,-2.50E-02,1.41E-03,-0.023591268
AT_95,9.73E-02,-6.61E-03,9.01E-02
AT_96,-4.76E-02,-2.25E-02,-6.90E-02
AT_97,-4.35E-02,-2.14E-02,-0.063935038
AT_98,-3.88E-02,-2.83E-02,-6.60E-02
AT_99,-8.24E-02,-4.71E-02,-0.125602228
BE_1,0.094149406,-0.290343774,-0.223530062
BE_2,7.18E-02,-0.279065511,-0.227311333
BE_3,9.84E-02,-0.272397886,-0.200802047
BE_4,0.14735044,-0.29360822,-0.189521081
BE_5,0.134879012,-0.275115149,-0.177343397
BE_6,0.140451932,-0.270733425,-0.168306526
BE_7,0.118572946,-0.282395119,-0.197306595
BE_8,3.13E-02,-0.246948696,-0.223363305
BE_9,5.89E-02,-0.25907365,-0.215396636
CH_1,-6.89E-02,1.50E-02,-5.49E-02
CH_2,-5.67E-02,1.91E-02,-0.038659928
CH_3,-5.85E-02,0.018639211,-4.10E-02
CH_4,-6.19E-02,1.77E-02,-4.53E-02
CH_5,3.85E-02,2.04E-02,5.97E-02
CH_6,-1.52E-02,1.01E-02,-5.23E-03
CH_7,-1.30E-02,1.29E-02,-3.10E-04
CH_8,2.61E-03,1.69E-02,1.96E-02
CH_9,-1.69E-02,1.96E-02,2.42E-03
CH_10,0.105952434,7.13E-03,0.113843353
CH_11,-6.90E-02,1.49E-02,-5.52E-02
CH_12,-7.41E-03,1.30E-02,5.54E-03
CH_13,-2.11E-04,0.014064939,1.39E-02
CH_14,3.93E-02,1.64E-02,5.63E-02
CH_15,0.030862743,1.24E-02,4.36E-02
CH_16,-9.53E-02,2.86E-02,-6.94E-02
CH_17,-1.19E-02,2.36E-02,1.14E-02
CH_18,-4.59E-02,2.51E-02,-2.20E-02
CH_19,-0.079513435,9.98E-03,-7.03E-02
CH_20,0.199194078,1.07E-02,0.212083442
