CRESTA,Haz,Vuln,Overall
FR_47,-0.103606899,-6.81E-02,-0.164645428
FR_48,1.87E-02,-0.468035871,-0.458064449
FR_49,-4.07E-02,-0.104249695,-0.140746672
FR_50,0.021153692,-0.199623684,-0.18269277
FR_51,5.95E-02,-0.107434011,-5.44E-02
FR_52,3.03E-02,-0.114451559,-8.76E-02
FR_53,0.042889087,-0.139390995,-0.10248026
FR_54,0.135024377,-0.124938525,-6.78E-03
FR_55,0.109864127,-0.117948686,-2.10E-02
FR_56,-2.55E-02,-0.205423291,-0.225714588
FR_57,0.112473855,-0.110319281,-1.03E-02
FR_58,-5.33E-02,-0.416013227,-0.447167549
FR_59,-4.09E-02,-0.198304225,-0.231125638
FR_60,3.19E-02,-0.112441529,-8.42E-02
FR_61,5.54E-02,-0.167208946,-0.121077876
FR_62,-4.41E-02,-0.222067699,-0.256345387
FR_63,-0.117288445,-0.439020951,-0.504817311
FR_64,-9.29E-02,-0.187882506,-0.263299015
FR_65,-5.73E-02,-0.225256546,-0.26967189
FR_66,-0.178199481,-0.242393307,-0.377398427
FR_67,8.90E-03,-8.08E-02,-7.26E-02
FR_68,-4.51E-02,-0.104873465,-0.145259877
FR_69,-0.112029147,-0.41579076,-0.481239222
FR_70,-4.85E-02,-0.131852563,-0.173974906
FR_71,-0.150089532,-0.417620132,-0.505029254
FR_72,3.71E-02,-0.114638693,-8.18E-02
FR_73,-5.29E-02,-0.474736505,-0.502527785
FR_74,-9.74E-02,-0.475356253,-0.526478625
FR_75,0.125140148,-0.18787769,-8.62E-02
FR_76,3.31E-02,-0.230329577,-0.204852037
FR_77,6.63E-02,-0.126153471,-6.82E-02
FR_78,7.82E-02,-0.141593699,-7.45E-02
FR_79,-4.47E-02,-5.90E-02,-0.101141143
FR_80,-8.20E-03,-0.201032536,-0.207581321
FR_81,-8.47E-02,-0.236117285,-0.300800633
FR_82,-9.31E-02,-0.142198859,-0.222070852
FR_83,-8.57E-02,-0.236716665,-0.302115978
FR_84,-5.57E-02,-0.506864996,-0.534327559
FR_85,-4.08E-02,-7.76E-02,-0.115183439
FR_86,-3.94E-02,-6.88E-02,-0.105478055
FR_87,-7.43E-02,-0.114321029,-0.180120477
FR_88,1.01E-02,-0.10686329,-9.78E-02
FR_89,2.22E-02,-0.124506598,-0.105104183
FR_90,-1.86E-02,-0.139325783,-0.155299126
FR_91,0.132753449,-0.159125435,-4.75E-02
FR_92,0.147189909,-0.189302556,-7.00E-02
FR_93,0.145465229,-0.193484726,-0.076164798
FR_94,0.152731309,-0.189700866,-6.59E-02
FR_95,4.11E-02,-0.148709751,-0.113696682
FR_98,-9999,-9999,-9999
IE_CE,-4.26E-02,-0.171448261,-0.206784975
IE_CK,-0.362381878,-0.157279473,-0.46266612
IE_CN,0.463871803,-0.16615965,0.220635377
IE_CW,0.297803295,-0.17897638,6.55E-02
IE_DL,-1.39E-02,-0.189066676,-0.200322003
IE_DN,-6.26E-02,-0.155319472,-0.208185647
IE_GY,-4.49E-02,-0.179291701,-0.216122368
IE_KE,-0.124592063,-0.164717174,-0.268786785
IE_KK,0.452870898,-0.183749514,0.185906576
IE_KY,-0.428802817,-0.159883131,-0.520127611
IE_LD,0.15609152,-0.181269205,-5.35E-02
IE_LH,-0.528958677,-0.170971914,-0.609493514
IE_LK,-0.191956243,-0.164255588,-0.324681946
IE_LM,-0.403397724,-0.17833017,-0.509789909
IE_LS,-1.68E-02,-0.174985945,-0.188885575
IE_MH,4.64E-02,-0.173566304,-0.135245263
IE_MN,0.438814306,-0.187906155,0.168452242
IE_MO,-0.539704191,-0.161120028,-0.613867064
IE_OY,-0.215978127,-0.170022936,-0.349279828
IE_RN,-0.112408998,-0.170250041,-0.263521403
IE_SO,0.046712185,-0.185292515,-0.147235748
IE_TY,-0.17021678,-0.157546002,-0.300945809
IE_WD,-5.70E-02,-0.179365533,-0.226180465
IE_WH,-0.237228519,-0.165954466,-0.363813852
IE_WW,0.62667936,-0.17977045,0.334250479
IE_WX,0.235153428,-0.180579276,1.21E-02
LU_1,0.386144558,-0.319243269,-0.056372762
NL_10,-5.26E-02,-0.171163289,-0.214779254
NL_11,2.62E-02,-0.2158481,-0.195275299
NL_12,8.51E-02,-0.288157319,-0.227565855
NL_13,6.23E-02,-0.252317046,-0.205745559
NL_14,2.22E-02,-0.200786435,-0.183024088
NL_15,5.62E-02,-0.267211667,-0.225993009
NL_16,-2.31E-02,-0.137681534,-0.157622663
NL_17,-2.03E-02,-0.151441358,-0.168631907
NL_18,5.03E-02,-0.274175569,-0.237679282
NL_19,3.04E-02,-0.261658561,-0.239224704
NL_20,6.91E-02,-0.290319549,-0.241295468
NL_21,0.044181412,-0.246683066,-0.21340046
NL_22,3.53E-02,-0.241142264,-0.214386571
NL_23,6.99E-02,-0.293454178,-0.244089343
NL_24,8.40E-02,-0.272953184,-0.211845868
NL_25,5.17E-02,-0.33180225,-0.297268228
NL_26,5.58E-02,-0.251742427,-0.209953823
NL_27,7.56E-02,-0.266299512,-0.210801537
NL_28,0.097505808,-0.28115031,-0.21105829
NL_29,7.09E-02,-0.261714338,-0.209362641
NL_30,9.66E-03,-0.276667594,-0.269680177
NL_31,5.10E-02,-0.251022739,-0.21279585
NL_32,2.95E-02,-0.20696958,-0.183597953
NL_33,6.95E-02,-0.252662964,-0.200738165
NL_34,7.97E-02,-0.266067068,-0.20755085
NL_35,9.92E-02,-0.325245671,-0.258327974
NL_36,4.78E-02,-0.225291249,-0.188289032
NL_37,8.74E-02,-0.279630787,-0.216659856
NL_38,8.68E-02,-0.267496303,-0.203902231
NL_39,9.94E-02,-0.26787452,-0.195070402
NL_40,9.99E-02,-0.224276336,-0.146809164
NL_41,9.21E-02,-0.250491699,-0.181443415
NL_42,0.088900666,-0.243547929,-0.176298836
NL_43,5.26E-02,-0.228848856,-0.188265259
NL_44,3.55E-02,-0.194322321,-0.165690172
NL_45,0.051340847,-0.227720935,-0.188071474
NL_46,4.68E-02,-0.216433885,-0.1797863
NL_47,5.17E-02,-0.240069975,-0.200785178
NL_48,0.100769314,-0.306987252,-0.237152833
NL_49,0.10111485,-0.272604621,-0.199054147
NL_50,0.13801599,-0.341924206,-0.251099224
NL_51,0.121877095,-0.283735903,-0.196439715
NL_52,0.101936147,-0.279241345,-0.205769985
NL_53,0.112196494,-0.245393387,-0.16072917
NL_54,0.129896844,-0.265306647,-0.169872299
NL_55,0.157004204,-0.29475697,-0.18403085
NL_56,0.165155874,-0.314092677,-0.200811053
NL_57,0.186314219,-0.290848634,-0.158723651
NL_58,0.158104759,-0.264902483,-0.148680068
NL_59,0.182819213,-0.258322546,-0.122729658
NL_60,0.203178116,-0.296785832,-0.153908102
NL_61,0.241344103,-0.331065992,-0.169622714
NL_62,0.220757358,-0.354342065,-0.211808325
NL_63,0.227944041,-0.321922277,-0.1673585
NL_64,0.291969871,-0.37847645,-0.197010299
NL_65,0.156735866,-0.292916114,-0.182090709
NL_66,0.105853632,-0.219819025,-0.137234035
NL_67,0.15451931,-0.303387464,-0.195747376
NL_68,0.145474594,-0.304499712,-0.20332209
NL_69,0.118442827,-0.237122512,-0.146765145
NL_70,0.157106222,-0.252933442,-0.135564637
NL_71,0.137433562,-0.248290705,-0.14498062
NL_72,0.122481138,-0.256140604,-0.165031859
NL_73,0.141557253,-0.284160845,-0.18282862
NL_74,0.123144948,-0.269770861,-0.179846831
NL_75,0.117402817,-0.282733004,-0.198523838
NL_76,0.109338036,-0.256930602,-0.175684853
NL_77,9.54E-02,-0.237692965,-0.164952891
NL_78,9.50E-02,-0.208726295,-0.133572799
NL_79,9.91E-02,-0.240480044,-0.165246496
NL_80,8.10E-02,-0.252151333,-0.191559008
NL_81,9.91E-02,-0.239277152,-0.163858124
NL_82,4.45E-02,-0.218274146,-0.183484197
NL_83,3.31E-02,-0.173729861,-0.146380283
NL_84,5.13E-02,-0.22648302,-0.186813947
NL_85,2.69E-02,-0.190706194,-0.168970312
NL_86,5.81E-02,-0.242735375,-0.198768333
NL_87,7.94E-03,-0.160836702,-0.154172498
NL_88,2.95E-02,-0.149110419,-0.124007164
NL_89,8.80E-02,-0.283106972,-0.219987155
NL_90,3.64E-02,-0.19215775,-0.162784914
NL_91,3.32E-02,-0.160642832,-0.132774413
NL_92,4.91E-02,-0.212094281,-0.173425394
NL_93,8.05E-02,-0.235046796,-0.17346221
NL_94,8.21E-02,-0.236962035,-0.174319107
NL_95,0.073009308,-0.22935671,-0.173092577
NL_96,6.23E-02,-0.202394419,-0.152731069
NL_97,9.32E-02,-0.25502722,-0.18556898
NL_98,6.68E-02,-0.202086973,-0.148790395
NL_99,2.24E-02,-0.119243316,-9.95E-02
NO_00,-0.403447228,7.07E-02,-0.361258791
NO_01,-0.103028603,8.89E-02,-2.33E-02
NO_02,-8.64E-02,0.057789945,-3.36E-02
NO_03,-0.087388278,0.075465824,-1.85E-02
NO_04,-9.14E-02,8.55E-02,-1.37E-02
NO_05,-9.93E-02,0.103139183,-6.45E-03
NO_06,-0.101949993,6.86E-02,-4.04E-02
NO_07,-8.98E-02,-6.65E-03,-9.59E-02
NO_08,-8.31E-02,3.80E-02,-0.048273912
NO_09,-0.105257929,8.01E-02,-0.033552823
NO_10,-0.115545216,6.09E-02,-6.16E-02
NO_11,-9.79E-02,6.13E-02,-4.26E-02
NO_12,-0.100634913,6.75E-03,-9.46E-02
NO_13,-6.75E-02,-5.45E-02,-0.11836227
NO_14,-7.15E-02,-8.51E-02,-0.150569242
NO_15,-8.20E-02,-0.186569015,-0.253308305
NO_16,-5.36E-02,-0.165964681,-0.210641349
NO_17,-6.33E-02,-0.141302041,-0.195651776
NO_18,-9.80E-02,-0.253206905,-0.326370718
NO_19,-8.81E-02,-0.16846189,-0.241736896
NO_20,-6.93E-02,-0.124701294,-0.185397652
NO_21,-7.75E-02,-0.214126875,-0.275006102
NO_22,-0.064735711,-0.311756685,-0.356310606
NO_23,-3.95E-02,-0.248435675,-0.278102112
NO_24,-5.75E-02,-0.31156492,-0.351156309
